project,bug,cornTotal,corn2,cornN,cornIN,isCorn
jdt,498362,0,0,0,0,0
jdt,488662,0,0,0,0,0
jdt,521847,0,0,0,0,0
jdt,439750,0,0,0,0,0
jdt,65259,0,0,0,0,0
jdt,405843,0,0,0,0,0
jdt,525432,0,0,0,0,0
jdt,490988,0,0,0,0,0
jdt,439516,0,0,0,0,0
jdt,515600,0,0,0,0,0
jdt,428305,0,0,0,0,0
jdt,405067,0,0,0,0,0
jdt,430150,0,0,0,0,0
jdt,342757,0,0,0,0,0
jdt,429090,0,0,0,0,0
jdt,430667,0,0,0,0,0
jdt,406392,0,0,0,0,0
jdt,360164,0,0,0,0,0
jdt,410207,0,0,0,0,0
jdt,403147,0,0,0,0,0
jdt,39739,0,0,0,0,0
jdt,495557,0,0,0,0,0
jdt,107389,0,0,0,0,0
jdt,24308,0,0,0,0,0
jdt,72105,0,0,0,0,0
jdt,497168,0,0,0,0,0
jdt,405066,0,0,0,0,0
jdt,456497,0,0,0,0,0
jdt,406388,0,0,0,0,0
jdt,521287,0,0,0,0,0
jdt,381443,0,0,0,0,0
jdt,29864,0,0,0,0,0
jdt,170692,0,0,0,0,0
jdt,392238,0,0,0,0,0
jdt,500622,0,0,0,0,0
jdt,479104,0,0,0,0,0
jdt,490657,0,0,0,0,0
jdt,391890,0,0,0,0,0
jdt,482247,0,0,0,0,0
jdt,500362,0,0,0,0,0
jdt,510339,0,0,0,0,0
jdt,406530,0,0,0,0,0
jdt,447695,0,0,0,0,0
jdt,393719,0,0,0,0,0
jdt,458208,0,0,0,0,0
jdt,497996,0,0,0,0,0
jdt,420660,0,0,0,0,0
jdt,359495,0,0,0,0,0
jdt,124525,0,0,0,0,0
jdt,406170,0,0,0,0,0
jdt,339139,0,0,0,0,0
p2,310667,0,0,0,0,0
p2,247524,0,0,0,0,0
p2,202464,0,0,0,0,0
p2,407115,0,0,0,0,0
p2,229342,0,0,0,0,0
p2,521075,0,0,0,0,0
p2,228481,0,0,0,0,0
p2,279309,0,0,0,0,0
p2,204184,0,0,0,0,0
p2,309873,0,0,0,0,0
p2,299586,0,0,0,0,0
p2,301658,0,0,0,0,0
p2,407099,0,0,0,0,0
p2,311475,0,0,0,0,0
p2,230314,0,0,0,0,0
p2,214937,0,0,0,0,0
p2,207493,0,0,0,0,0
p2,234036,0,0,0,0,0
p2,218623,0,0,0,0,0
p2,250184,0,0,0,0,0
p2,336246,0,0,0,0,0
p2,260625,0,0,0,0,0
p2,210418,0,0,0,0,0
p2,214694,0,0,0,0,0
p2,212334,0,0,0,0,0
p2,313447,0,0,0,0,0
p2,207513,0,0,0,0,0
p2,256650,0,0,0,0,0
p2,272954,0,0,0,0,0
p2,300240,0,0,0,0,0
p2,219962,0,0,0,0,0
p2,252890,0,0,0,0,0
p2,224004,0,0,0,0,0
p2,274096,0,0,0,0,0
p2,242457,0,0,0,0,0
p2,302990,0,0,0,0,0
p2,234016,0,0,0,0,0
p2,210462,0,0,0,0,0
p2,224445,0,0,0,0,0
p2,218639,0,0,0,0,0
p2,396420,0,0,0,0,0
p2,521163,0,0,0,0,0
p2,218649,0,0,0,0,0
p2,258722,0,0,0,0,0
p2,203115,0,0,0,0,0
p2,249996,0,0,0,0,0
p2,269978,0,0,0,0,0
p2,275089,0,0,0,0,0
p2,208307,0,0,0,0,0
p2,322477,0,0,0,0,0
p2,215930,0,0,0,0,0
p2,222309,0,0,0,0,0
p2,306439,0,0,0,0,0
p2,255724,0,0,0,0,0
p2,235526,0,0,0,0,0
p2,304895,0,0,0,0,0
p2,254931,0,0,0,0,0
p2,229305,0,0,0,0,0
p2,525516,0,0,0,0,0
p2,210685,0,0,0,0,0
p2,215406,0,0,0,0,0
p2,210670,0,0,0,0,0
p2,305334,0,0,0,0,0
p2,233761,0,0,0,0,0
p2,342661,0,0,0,0,0
p2,303990,0,0,0,0,0
p2,406986,0,0,0,0,0
p2,384646,0,0,0,0,0
p2,320613,0,0,0,0,0
p2,218532,0,0,0,0,0
p2,225018,0,0,0,0,0
p2,257431,0,0,0,0,0
p2,369834,0,0,0,0,0
p2,206202,0,0,0,0,0
p2,230253,0,0,0,0,0
p2,232329,0,0,0,0,0
p2,521838,0,0,0,0,0
p2,270668,0,0,0,0,0
p2,325611,0,0,0,0,0
p2,216433,0,0,0,0,0
p2,431116,0,0,0,0,0
p2,525499,0,0,0,0,0
p2,423628,0,0,0,0,0
p2,229877,0,0,0,0,0
p2,521839,0,0,0,0,0
p2,400854,0,0,0,0,0
p2,302278,0,0,0,0,0
p2,525796,0,0,0,0,0
p2,258539,0,0,0,0,0
p2,232413,0,0,0,0,0
p2,436872,0,0,0,0,0
p2,247377,0,0,0,0,0
p2,220786,0,0,0,0,0
p2,258132,0,0,0,0,0
p2,304942,0,0,0,0,0
p2,207976,0,0,0,0,0
p2,263487,0,0,0,0,0
p2,306279,0,0,0,0,0
p2,516095,0,0,0,0,0
p2,274319,0,0,0,0,0
p2,216193,0,0,0,0,0
p2,222639,0,0,0,0,0
p2,325095,0,0,0,0,0
p2,217927,0,0,0,0,0
p2,334519,0,0,0,0,0
p2,488504,0,0,0,0,0
p2,226116,0,0,0,0,0
p2,521119,0,0,0,0,0
p2,217744,0,0,0,0,0
p2,217100,0,0,0,0,0
p2,279015,0,0,0,0,0
p2,209680,0,0,0,0,0
p2,264769,0,0,0,0,0
p2,222957,0,0,0,0,0
p2,250316,0,0,0,0,0
p2,205447,0,0,0,0,0
p2,220280,0,0,0,0,0
p2,259800,0,0,0,0,0
swt,490864,0,0,0,0,0
swt,444725,0,0,0,0,0
swt,441791,0,0,0,0,0
swt,487493,0,0,0,0,0
swt,509135,0,0,0,0,0
swt,524692,0,0,0,0,0
