project,bug,cornTotal,corn2,cornN,cornIN,isCorn
jdt,438458,12,6,6,1,1
jdt,78931,12,5,7,7,1
jdt,418000,12,8,4,4,1
p2,293340,12,10,2,2,1
p2,252690,12,8,4,4,1
jdt,148944,12,9,3,0,0
jdt,368546,12,12,0,0,0
jdt,423885,12,9,3,0,0
p2,250457,12,8,4,0,0
p2,406984,12,11,1,0,0
p2,226528,12,12,0,0,0
jdt,487780,11,7,4,4,1
p2,268884,11,7,4,2,1
p2,265315,11,10,1,1,1
p2,273177,11,6,5,5,1
p2,521115,11,7,4,4,1
p2,253782,11,9,2,2,1
p2,208294,11,8,3,3,1
jdt,424167,11,6,5,0,0
jdt,42253,11,10,1,0,0
p2,217001,11,11,0,0,0
p2,489706,11,11,0,0,0
p2,220605,11,11,0,0,0
p2,207220,11,9,2,0,0
jdt,129584,10,7,3,2,1
jdt,500747,10,8,2,1,1
jdt,135217,10,8,2,2,1
jdt,404285,10,8,2,2,1
jdt,383624,10,9,1,1,1
p2,466249,10,6,4,4,1
p2,204301,10,7,3,1,1
p2,227784,10,9,1,1,1
p2,194224,10,9,1,1,1
p2,291620,10,4,6,5,1
jdt,508624,10,8,2,0,0
jdt,162865,10,10,0,0,0
jdt,500636,10,8,2,0,0
jdt,495062,10,10,0,0,0
jdt,83713,10,10,0,0,0
jdt,125641,10,10,0,0,0
p2,228046,10,10,0,0,0
p2,220854,10,10,0,0,0
p2,255984,10,8,2,0,0
jdt,511950,9,7,2,2,1
jdt,334783,9,8,1,1,1
jdt,517269,9,6,3,3,1
jdt,359943,9,4,5,2,1
jdt,401790,9,6,3,3,1
jdt,402198,9,6,3,3,1
p2,305064,9,5,4,4,1
p2,295399,9,5,4,4,1
p2,332314,9,8,1,1,1
p2,224504,9,8,1,1,1
p2,518574,9,6,3,3,1
swt,512342,9,6,3,3,1
jdt,501162,9,9,0,0,0
jdt,448954,9,7,2,0,0
jdt,402233,9,8,1,0,0
jdt,484926,9,6,3,0,0
jdt,410218,9,9,0,0,0
jdt,417295,9,9,0,0,0
jdt,429813,9,7,2,0,0
p2,205232,9,8,1,0,0
p2,218252,9,9,0,0,0
jdt,379078,8,4,4,4,1
jdt,441693,8,3,5,1,1
jdt,519674,8,6,2,2,1
jdt,399778,8,5,3,3,1
jdt,422489,8,5,3,2,1
jdt,414444,8,4,4,4,1
p2,249133,8,4,4,4,1
p2,460627,8,6,2,2,1
p2,310206,8,5,3,2,1
p2,274025,8,4,4,3,1
p2,209576,8,7,1,1,1
p2,253224,8,5,3,3,1
p2,261403,8,7,1,1,1
swt,474049,8,4,4,4,1
jdt,404489,8,8,0,0,0
jdt,423504,8,8,0,0,0
jdt,399773,8,8,0,0,0
jdt,518401,8,8,0,0,0
p2,214705,8,8,0,0,0
p2,222563,8,8,0,0,0
p2,525653,8,8,0,0,0
p2,224482,8,8,0,0,0
swt,428512,8,8,0,0,0
jdt,271680,7,4,3,1,1
jdt,424415,7,5,2,2,1
jdt,481332,7,4,3,1,1
jdt,193909,7,5,2,2,1
jdt,435570,7,3,4,1,1
p2,262503,7,6,1,1,1
p2,297253,7,4,3,3,1
p2,331683,7,4,3,3,1
p2,256361,7,5,2,2,1
p2,256412,7,4,3,3,1
p2,210450,7,5,2,2,1
p2,206388,7,5,2,2,1
p2,525708,7,4,3,2,1
p2,299917,7,6,1,1,1
p2,224472,7,4,3,3,1
p2,302201,7,1,6,6,1
p2,219109,7,4,3,3,1
p2,252694,7,5,2,2,1
p2,303264,7,3,4,4,1
p2,218741,7,6,1,1,1
p2,486279,7,5,2,2,1
jdt,428019,7,6,1,0,0
jdt,515792,7,7,0,0,0
jdt,94965,7,7,0,0,0
jdt,488494,7,7,0,0,0
jdt,119244,7,7,0,0,0
jdt,402173,7,7,0,0,0
jdt,23284,7,7,0,0,0
p2,313553,7,7,0,0,0
p2,227220,7,6,1,0,0
p2,235652,7,7,0,0,0
p2,324873,7,6,1,0,0
p2,216044,7,7,0,0,0
jdt,140521,6,5,1,1,1
jdt,499708,6,2,4,1,1
jdt,460491,6,4,2,2,1
jdt,517808,6,4,2,1,1
jdt,399792,6,4,2,2,1
jdt,448794,6,4,2,2,1
jdt,46612,6,5,1,1,1
jdt,360328,6,5,1,1,1
p2,219605,6,5,1,1,1
p2,264042,6,2,4,4,1
p2,222498,6,5,1,1,1
p2,221087,6,5,1,1,1
p2,521842,6,4,2,2,1
p2,304280,6,4,2,2,1
p2,273674,6,3,3,1,1
p2,525733,6,3,3,2,1
p2,203340,6,5,1,1,1
p2,304130,6,5,1,1,1
swt,506585,6,2,4,4,1
jdt,477387,6,6,0,0,0
jdt,466713,6,4,2,0,0
jdt,435805,6,5,1,0,0
jdt,521896,6,5,1,0,0
p2,208111,6,6,0,0,0
p2,300860,6,6,0,0,0
p2,518031,6,6,0,0,0
p2,222870,6,4,2,0,0
p2,214691,6,6,0,0,0
p2,316916,6,6,0,0,0
p2,264110,6,6,0,0,0
p2,208439,6,6,0,0,0
p2,217748,6,5,1,0,0
jdt,426290,5,3,2,1,1
jdt,409586,5,4,1,1,1
jdt,326950,5,3,2,2,1
jdt,383600,5,4,1,1,1
jdt,461268,5,4,1,1,1
p2,303269,5,3,2,2,1
p2,215103,5,4,1,1,1
p2,207802,5,4,1,1,1
p2,210986,5,1,4,4,1
jdt,415043,5,5,0,0,0
jdt,478143,5,5,0,0,0
jdt,410892,5,2,3,0,0
jdt,23162,5,3,2,0,0
jdt,519444,5,5,0,0,0
jdt,404649,5,5,0,0,0
jdt,185010,5,5,0,0,0
jdt,477790,5,5,0,0,0
jdt,522073,5,5,0,0,0
jdt,428003,5,2,3,0,0
jdt,374605,5,5,0,0,0
jdt,418041,5,5,0,0,0
jdt,11076,5,2,3,0,0
p2,271342,5,5,0,0,0
p2,204177,5,5,0,0,0
p2,208251,5,5,0,0,0
p2,230508,5,5,0,0,0
p2,214782,5,5,0,0,0
p2,272066,5,4,1,0,0
p2,222156,5,5,0,0,0
p2,219224,5,5,0,0,0
p2,264389,5,4,1,0,0
p2,291696,5,5,0,0,0
jdt,30511,4,2,2,2,1
jdt,413569,4,3,1,1,1
jdt,425040,4,3,1,1,1
jdt,427438,4,2,2,2,1
p2,269720,4,3,1,1,1
p2,305069,4,3,1,1,1
p2,222501,4,1,3,3,1
p2,232440,4,3,1,1,1
p2,212607,4,3,1,1,1
p2,219477,4,2,2,1,1
jdt,416176,4,4,0,0,0
jdt,492858,4,4,0,0,0
jdt,449846,4,2,2,0,0
jdt,495801,4,4,0,0,0
jdt,520335,4,4,0,0,0
jdt,426984,4,2,2,0,0
jdt,356746,4,4,0,0,0
jdt,26025,4,4,0,0,0
jdt,382721,4,4,0,0,0
jdt,485748,4,4,0,0,0
jdt,448792,4,3,1,0,0
jdt,519493,4,2,2,0,0
jdt,66271,4,4,0,0,0
jdt,178039,4,2,2,0,0
jdt,376550,4,4,0,0,0
jdt,461372,4,4,0,0,0
jdt,399791,4,4,0,0,0
jdt,472177,4,4,0,0,0
jdt,515875,4,4,0,0,0
jdt,492488,4,4,0,0,0
jdt,165900,4,4,0,0,0
jdt,413592,4,3,1,0,0
jdt,358903,4,3,1,0,0
jdt,401850,4,4,0,0,0
jdt,412149,4,4,0,0,0
jdt,258917,4,4,0,0,0
jdt,488885,4,4,0,0,0
jdt,150228,4,4,0,0,0
p2,248783,4,4,0,0,0
p2,222480,4,4,0,0,0
p2,460967,4,4,0,0,0
p2,223341,4,4,0,0,0
p2,229641,4,4,0,0,0
p2,255678,4,4,0,0,0
p2,224150,4,4,0,0,0
p2,211650,4,4,0,0,0
p2,214135,4,4,0,0,0
p2,521108,4,4,0,0,0
p2,211102,4,4,0,0,0
p2,525734,4,4,0,0,0
p2,209366,4,4,0,0,0
p2,272336,4,4,0,0,0
p2,290206,4,4,0,0,0
p2,272386,4,4,0,0,0
p2,231138,4,4,0,0,0
p2,262243,4,4,0,0,0
p2,202985,4,4,0,0,0
swt,522211,4,2,2,0,0
swt,521024,4,4,0,0,0
jdt,70602,3,1,2,1,1
jdt,426537,3,2,1,1,1
jdt,466308,3,2,1,1,1
jdt,42196,3,2,1,1,1
jdt,399793,3,1,2,1,1
jdt,179684,3,2,1,1,1
jdt,415790,3,2,1,1,1
jdt,426366,3,2,1,1,1
p2,250680,3,2,1,1,1
p2,218232,3,1,2,2,1
p2,421798,3,1,2,1,1
swt,509091,3,2,1,1,1
jdt,429384,3,3,0,0,0
jdt,38111,3,3,0,0,0
jdt,392384,3,3,0,0,0
jdt,418979,3,3,0,0,0
jdt,430073,3,3,0,0,0
jdt,453483,3,3,0,0,0
jdt,427483,3,2,1,0,0
jdt,497518,3,3,0,0,0
jdt,400905,3,3,0,0,0
jdt,429262,3,3,0,0,0
jdt,185220,3,3,0,0,0
jdt,412151,3,3,0,0,0
jdt,430336,3,3,0,0,0
jdt,190612,3,3,0,0,0
jdt,506461,3,3,0,0,0
jdt,408230,3,2,1,0,0
jdt,430195,3,2,1,0,0
jdt,430035,3,3,0,0,0
jdt,405104,3,3,0,0,0
jdt,346529,3,3,0,0,0
jdt,365662,3,2,1,0,0
jdt,437522,3,3,0,0,0
jdt,497719,3,3,0,0,0
jdt,401222,3,3,0,0,0
jdt,446765,3,3,0,0,0
jdt,409250,3,3,0,0,0
jdt,440687,3,3,0,0,0
jdt,425134,3,3,0,0,0
jdt,423505,3,3,0,0,0
jdt,426792,3,3,0,0,0
jdt,350000,3,3,0,0,0
jdt,500905,3,3,0,0,0
jdt,440759,3,2,1,0,0
jdt,518282,3,2,1,0,0
jdt,514653,3,3,0,0,0
jdt,418347,3,3,0,0,0
jdt,369079,3,3,0,0,0
jdt,406614,3,3,0,0,0
p2,212058,3,3,0,0,0
p2,220554,3,3,0,0,0
p2,228272,3,3,0,0,0
