Project,IssueID,Lambda,Upsilon,Domino,Cyclic
jdt,409250,1,1,0,0
jdt,409586,0,0,0,0
jdt,410207,0,0,0,0
jdt,410218,1,1,0,0
jdt,410892,0,0,0,0
jdt,412149,1,1,1,0
jdt,412151,0,1,1,0
jdt,413569,1,1,1,0
jdt,413592,1,0,1,0
jdt,413613,1,0,0,0
jdt,414113,0,1,0,0
jdt,414444,0,0,0,0
jdt,414761,1,0,1,0
jdt,415043,1,0,1,0
jdt,415291,1,1,1,0
jdt,415308,1,0,1,0
jdt,415790,0,0,0,0
jdt,415850,0,0,0,0
jdt,416176,0,0,0,0
jdt,416182,1,1,1,0
jdt,416190,1,1,1,0
jdt,416307,1,1,0,0
jdt,417113,1,1,1,0
jdt,417295,1,1,1,0
jdt,417803,1,1,1,0
jdt,418000,1,1,1,0
jdt,418041,1,1,1,0
jdt,418096,1,1,1,0
jdt,418235,1,1,1,0
jdt,418347,1,1,1,0
jdt,418599,0,0,0,0
jdt,418743,0,0,0,0
jdt,418979,0,0,0,0
jdt,419165,1,1,0,0
jdt,419664,1,0,0,0
jdt,419918,1,1,1,0
jdt,420660,0,0,0,0
jdt,421017,0,0,0,0
jdt,421035,1,1,0,0
jdt,421165,1,1,0,0
jdt,421473,0,0,0,0
jdt,421628,0,0,0,0
jdt,421897,1,0,0,0
jdt,42196,1,1,0,0
jdt,422468,1,1,1,0
jdt,422489,1,0,0,0
jdt,42253,1,1,1,0
jdt,423504,1,1,1,0
jdt,423505,0,1,0,0
jdt,423885,0,0,0,0
jdt,423987,1,1,1,0
jdt,424053,1,1,1,0
jdt,424080,0,0,0,0
jdt,424138,1,0,0,0
jdt,424167,1,1,1,0
jdt,424198,0,0,0,0
jdt,424205,1,1,1,0
jdt,424286,0,1,1,0
jdt,424290,1,1,1,0
jdt,424415,1,1,1,0
jdt,424710,1,1,1,0
jdt,424914,0,0,0,0
jdt,425040,1,0,1,0
jdt,425134,1,1,1,0
jdt,425152,1,0,0,0
jdt,425183,0,0,0,0
jdt,425798,1,1,0,0
jdt,426290,1,0,0,0
jdt,426366,1,1,1,0
jdt,426462,1,0,0,0
jdt,426537,0,0,0,0
jdt,426792,1,1,1,0
jdt,426984,1,1,0,0
jdt,427072,1,0,0,0
jdt,427199,1,0,1,0
jdt,427438,0,0,0,0
jdt,427483,0,0,0,0
jdt,427626,1,1,1,0
jdt,427744,1,0,1,0
jdt,428003,1,1,0,0
jdt,428019,1,1,0,0
jdt,428305,1,1,0,0
jdt,428352,1,1,1,0
jdt,428526,0,0,0,0
jdt,428795,1,1,0,0
jdt,429012,1,0,0,0
jdt,429090,1,1,0,0
jdt,429262,1,0,0,0
jdt,429384,0,0,0,0
jdt,429430,0,0,1,0
jdt,429813,0,0,0,0
jdt,429958,1,1,1,0
jdt,430035,0,1,0,0
jdt,430073,1,1,1,0
jdt,430136,0,0,0,0
jdt,430150,1,1,0,0
jdt,430195,1,1,0,0
jdt,430336,1,1,0,0
jdt,430667,1,0,0,0
jdt,433458,0,0,0,0
jdt,434483,1,1,1,0
jdt,434600,1,0,0,0
jdt,435570,1,1,0,0
jdt,435805,1,1,1,0
jdt,437072,0,0,0,0
jdt,437444,1,1,1,0
jdt,437522,1,1,0,0
jdt,438458,1,1,1,0
jdt,438875,0,0,0,0
jdt,439516,1,1,1,0
jdt,439750,1,0,0,0
jdt,440477,1,1,1,0
jdt,440687,1,0,0,0
jdt,440759,1,0,0,0
jdt,441693,1,0,0,0
jdt,441726,1,0,0,0
jdt,442614,1,0,0,0
jdt,443596,0,0,0,0
jdt,446317,0,0,0,0
jdt,446442,1,1,0,0
jdt,446765,1,1,1,0
jdt,447573,1,1,1,0
jdt,447579,1,1,1,0
jdt,447695,0,0,0,0
jdt,448792,1,1,1,0
jdt,448794,1,1,1,0
jdt,448914,1,0,1,0
jdt,448954,1,1,0,0
jdt,449262,1,1,0,0
jdt,449619,1,1,1,0
jdt,44984,1,0,0,0
jdt,449846,1,1,0,0
jdt,450442,1,0,0,0
jdt,452788,1,0,0,0
jdt,453483,1,1,1,0
jdt,455723,1,1,0,0
jdt,456497,1,0,1,0
jdt,457079,1,1,0,0
jdt,458208,0,0,0,0
jdt,458396,1,1,1,1
jdt,458577,0,0,0,0
jdt,459415,1,1,1,0
jdt,460491,1,1,1,0
jdt,461268,1,1,1,0
jdt,461372,0,0,0,0
jdt,463330,0,0,0,0
jdt,46612,1,0,0,0
jdt,466291,1,1,0,0
jdt,466308,0,0,0,0
jdt,466556,1,1,1,0
