Project,IssueID,Lambda,Upsilon,Domino,Cyclic
p2,521108,0,0,0,0
p2,521115,0,0,0,0
p2,521119,0,0,0,0
p2,521121,0,0,0,0
p2,521145,0,0,0,0
p2,521147,0,0,0,0
p2,521156,0,0,0,0
p2,521163,0,0,0,0
p2,521827,0,0,0,0
p2,521838,0,0,0,0
p2,521839,0,0,0,0
p2,521842,0,0,0,0
p2,525499,0,0,0,0
p2,525501,0,0,0,0
p2,525516,0,0,0,0
p2,525599,0,0,0,0
p2,525653,0,0,0,0
p2,525654,0,0,0,0
p2,525698,0,0,0,0
p2,525707,0,0,0,0
p2,525708,0,0,0,0
p2,525709,0,0,0,0
p2,525733,0,0,0,0
p2,525734,0,0,0,0
p2,525735,0,0,0,0
p2,525796,0,0,0,0
swt,314622,0,0,0,0
swt,334147,0,0,0,0
swt,428512,0,0,0,0
swt,428514,0,0,0,0
swt,441791,0,0,0,0
swt,444715,0,0,0,0
swt,444725,0,0,0,0
swt,457659,0,0,0,0
swt,458863,1,1,0,0
swt,474049,0,0,0,0
swt,476529,0,0,0,0
swt,481467,0,0,0,0
swt,484541,0,0,0,0
swt,485821,0,0,0,0
swt,487493,0,0,0,0
swt,490853,0,0,0,0
swt,490864,0,0,0,0
swt,497807,0,0,0,0
swt,497809,0,0,0,0
swt,502845,0,0,0,0
swt,506585,0,0,0,0
swt,509086,0,0,0,0
swt,509091,0,0,0,0
swt,509135,0,0,0,0
swt,512342,0,0,0,0
swt,513037,0,0,0,0
swt,513052,0,0,0,0
swt,518542,0,0,0,0
swt,520983,0,0,0,0
swt,521024,0,0,0,0
swt,522211,0,0,0,0
swt,524692,0,0,0,0
swt,79391,0,0,1,0
